uuid,major,minor,x,y,z,floor,power
f7826da6-4fa2-4e98-8024-bc5b71e0893e,12345,3,73.6534580068,105.329996513,0.0,4.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,12345,4,63.4408759372,96.6012259892,0.0,5.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,12345,5,100.512518999,66.9669563043,0.0,2.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,12345,6,82.1407170983,61.9090532141,0.0,2.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,12345,7,82.7094724025,55.1876358453,0.0,2.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,12345,8,77.5755707652,54.2154791692,0.0,2.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,12345,9,78.0733134199,48.0919790388,0.0,2.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,12345,10,77.7511338655,42.7161333976,0.0,2.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,12345,11,82.2321983646,30.55572428,0.0,2.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,12345,13,84.8532515408,37.5371045743,0.0,2.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,12345,14,100.97786228,92.7339924489,0.0,6.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,12345,15,95.5036182778,103.994019601,0.0,6.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,12345,16,76.0465570953,30.3434809986,0.0,2.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,12345,18,65.9991342031,40.1306226535,0.0,4.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,12345,23,107.676195319,92.6649402805,0.0,6.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,12345,24,97.5198181668,69.801321208,0.0,8.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,12345,25,97.629382154,106.661184083,0.0,6.0,-8
